State, rank9, STATE, 0.030037, 31.830618, 31.800581, 0.000000, MPI_Scatter
State, rank9, STATE, 31.830620, 119.576208, 87.745588, 0.000000, MPI_Scatter
State, rank9, STATE, 125.591098, 211.978893, 86.387795, 0.000000, MPI_Gather
State, rank9, STATE, 211.978926, 286.687021, 74.708096, 0.000000, MPI_Finalize
State, rank89, STATE, 0.004886, 0.004891, 0.000005, 0.000000, MPI_Comm_size
State, rank89, STATE, 0.004891, 0.004892, 0.000001, 0.000000, MPI_Comm_rank
State, rank89, STATE, 0.004904, 0.056432, 0.051528, 0.000000, MPI_Bcast
State, rank89, STATE, 0.056562, 44.154251, 44.097689, 0.000000, MPI_Scatter
State, rank89, STATE, 44.154253, 131.879309, 87.725056, 0.000000, MPI_Scatter
State, rank89, STATE, 140.545484, 219.289344, 78.743860, 0.000000, MPI_Gather
State, rank89, STATE, 219.289376, 286.688046, 67.398670, 0.000000, MPI_Finalize
State, rank88, STATE, 0.003318, 0.003322, 0.000004, 0.000000, MPI_Comm_size
State, rank88, STATE, 0.003323, 0.003324, 0.000001, 0.000000, MPI_Comm_rank
State, rank88, STATE, 0.003334, 0.047745, 0.044410, 0.000000, MPI_Bcast
State, rank88, STATE, 0.047882, 43.743628, 43.695746, 0.000000, MPI_Scatter
State, rank88, STATE, 43.743629, 131.470108, 87.726478, 0.000000, MPI_Scatter
State, rank88, STATE, 139.462166, 216.700795, 77.238629, 0.000000, MPI_Gather
State, rank88, STATE, 216.700829, 286.685505, 69.984676, 0.000000, MPI_Finalize
State, rank87, STATE, 0.042603, 0.042608, 0.000005, 0.000000, MPI_Comm_size
State, rank87, STATE, 0.042608, 0.042609, 0.000001, 0.000000, MPI_Comm_rank
State, rank87, STATE, 0.042621, 0.062130, 0.019508, 0.000000, MPI_Bcast
State, rank87, STATE, 0.062267, 43.333793, 43.271525, 0.000000, MPI_Scatter
State, rank87, STATE, 43.333794, 131.060409, 87.726614, 0.000000, MPI_Scatter
State, rank87, STATE, 139.439413, 215.482881, 76.043468, 0.000000, MPI_Gather
State, rank87, STATE, 215.482919, 286.686697, 71.203779, 0.000000, MPI_Finalize
State, rank86, STATE, 0.033378, 0.033383, 0.000005, 0.000000, MPI_Comm_size
State, rank86, STATE, 0.033383, 0.033384, 0.000001, 0.000000, MPI_Comm_rank
State, rank86, STATE, 0.033396, 0.073754, 0.040358, 0.000000, MPI_Bcast
State, rank86, STATE, 0.073878, 42.922890, 42.849012, 0.000000, MPI_Scatter
State, rank86, STATE, 42.922892, 130.650001, 87.727109, 0.000000, MPI_Scatter
State, rank86, STATE, 138.630750, 219.494888, 80.864138, 0.000000, MPI_Gather
State, rank86, STATE, 219.494921, 286.687742, 67.192821, 0.000000, MPI_Finalize
State, rank85, STATE, 0.020781, 0.020785, 0.000005, 0.000000, MPI_Comm_size
State, rank85, STATE, 0.020786, 0.020786, 0.000000, 0.000000, MPI_Comm_rank
State, rank85, STATE, 0.020797, 0.045302, 0.024505, 0.000000, MPI_Bcast
State, rank85, STATE, 0.045421, 42.512065, 42.466644, 0.000000, MPI_Scatter
State, rank85, STATE, 42.512067, 130.240652, 87.728585, 0.000000, MPI_Scatter
State, rank85, STATE, 138.360667, 219.489591, 81.128924, 0.000000, MPI_Gather
State, rank85, STATE, 219.489625, 286.688476, 67.198851, 0.000000, MPI_Finalize
State, rank84, STATE, 0.018482, 0.018487, 0.000005, 0.000000, MPI_Comm_size
State, rank84, STATE, 0.018488, 0.018488, 0.000001, 0.000000, MPI_Comm_rank
State, rank84, STATE, 0.018501, 0.053894, 0.035393, 0.000000, MPI_Bcast
State, rank84, STATE, 0.054016, 42.102606, 42.048589, 0.000000, MPI_Scatter
State, rank84, STATE, 42.102608, 129.831969, 87.729361, 0.000000, MPI_Scatter
State, rank84, STATE, 138.098452, 219.223142, 81.124690, 0.000000, MPI_Gather
State, rank84, STATE, 219.223175, 286.688150, 67.464975, 0.000000, MPI_Finalize
State, rank83, STATE, 0.052409, 0.052413, 0.000004, 0.000000, MPI_Comm_size
State, rank83, STATE, 0.052413, 0.052413, 0.000000, 0.000000, MPI_Comm_rank
State, rank83, STATE, 0.052424, 0.068858, 0.016434, 0.000000, MPI_Bcast
State, rank83, STATE, 0.068972, 41.691077, 41.622105, 0.000000, MPI_Scatter
State, rank83, STATE, 41.691078, 129.420646, 87.729568, 0.000000, MPI_Scatter
State, rank83, STATE, 137.439291, 219.467181, 82.027889, 0.000000, MPI_Gather
State, rank83, STATE, 219.467216, 286.688005, 67.220790, 0.000000, MPI_Finalize
State, rank82, STATE, 0.037038, 0.037043, 0.000005, 0.000000, MPI_Comm_size
State, rank82, STATE, 0.037043, 0.037044, 0.000001, 0.000000, MPI_Comm_rank
State, rank82, STATE, 0.037056, 0.050072, 0.013016, 0.000000, MPI_Bcast
State, rank82, STATE, 0.050200, 41.281037, 41.230836, 0.000000, MPI_Scatter
State, rank82, STATE, 41.281038, 129.012536, 87.731498, 0.000000, MPI_Scatter
State, rank82, STATE, 136.841085, 219.189196, 82.348111, 0.000000, MPI_Gather
State, rank82, STATE, 219.189230, 286.688040, 67.498811, 0.000000, MPI_Finalize
State, rank81, STATE, 0.059511, 0.059515, 0.000004, 0.000000, MPI_Comm_size
State, rank81, STATE, 0.059515, 0.059515, 0.000000, 0.000000, MPI_Comm_rank
State, rank81, STATE, 0.059525, 0.068806, 0.009281, 0.000000, MPI_Bcast
State, rank81, STATE, 0.068923, 40.870866, 40.801944, 0.000000, MPI_Scatter
State, rank81, STATE, 40.870868, 128.602562, 87.731694, 0.000000, MPI_Scatter
State, rank81, STATE, 136.547357, 219.170716, 82.623358, 0.000000, MPI_Gather
State, rank81, STATE, 219.170749, 286.689238, 67.518489, 0.000000, MPI_Finalize
State, rank80, STATE, 0.014015, 0.014020, 0.000005, 0.000000, MPI_Comm_size
State, rank80, STATE, 0.014021, 0.014022, 0.000001, 0.000000, MPI_Comm_rank
State, rank80, STATE, 0.014034, 0.063421, 0.049387, 0.000000, MPI_Bcast
State, rank80, STATE, 0.063530, 40.460042, 40.396512, 0.000000, MPI_Scatter
State, rank80, STATE, 40.460044, 128.192866, 87.732821, 0.000000, MPI_Scatter
State, rank80, STATE, 135.868672, 219.450505, 83.581832, 0.000000, MPI_Gather
State, rank80, STATE, 219.450537, 286.689746, 67.239209, 0.000000, MPI_Finalize
State, rank8, STATE, 0.028673, 0.028677, 0.000004, 0.000000, MPI_Comm_size
State, rank8, STATE, 0.028678, 0.028678, 0.000000, 0.000000, MPI_Comm_rank
State, rank8, STATE, 0.028688, 0.064169, 0.035480, 0.000000, MPI_Bcast
State, rank8, STATE, 0.064292, 31.774952, 31.710660, 0.000000, MPI_Scatter
State, rank8, STATE, 31.774954, 119.520627, 87.745673, 0.000000, MPI_Scatter
State, rank8, STATE, 125.454063, 211.951161, 86.497098, 0.000000, MPI_Gather
State, rank8, STATE, 211.951192, 286.684922, 74.733730, 0.000000, MPI_Finalize
State, rank79, STATE, 0.045222, 0.045226, 0.000004, 0.000000, MPI_Comm_size
State, rank79, STATE, 0.045226, 0.045227, 0.000000, 0.000000, MPI_Comm_rank
