State, rank71, STATE, 0.012406, 6.972276, 6.959871, 0.000000, MPI_Scatter
State, rank71, STATE, 6.972277, 13.703898, 6.731622, 0.000000, MPI_Scatter
State, rank71, STATE, 14.429473, 18.089313, 3.659840, 0.000000, MPI_Gather
State, rank71, STATE, 18.089322, 18.435383, 0.346061, 0.000000, MPI_Finalize
State, rank70, STATE, 0.003866, 0.003866, 0.000001, 0.000000, MPI_Comm_size
State, rank70, STATE, 0.003867, 0.003867, 0.000000, 0.000000, MPI_Comm_rank
State, rank70, STATE, 0.003870, 0.016432, 0.012561, 0.000000, MPI_Bcast
State, rank70, STATE, 0.016469, 6.870375, 6.853907, 0.000000, MPI_Scatter
State, rank70, STATE, 6.870376, 13.602538, 6.732162, 0.000000, MPI_Scatter
State, rank70, STATE, 14.375391, 18.314447, 3.939055, 0.000000, MPI_Gather
State, rank70, STATE, 18.314463, 18.435496, 0.121033, 0.000000, MPI_Finalize
State, rank7, STATE, 0.000001, 0.000003, 0.000002, 0.000000, MPI_Comm_size
State, rank7, STATE, 0.000003, 0.000003, 0.000000, 0.000000, MPI_Comm_rank
State, rank7, STATE, 0.000010, 0.014466, 0.014455, 0.000000, MPI_Bcast
State, rank7, STATE, 0.014504, 1.116541, 1.102037, 0.000000, MPI_Scatter
State, rank7, STATE, 1.116542, 7.915937, 6.799396, 0.000000, MPI_Scatter
State, rank7, STATE, 8.581061, 15.023273, 6.442212, 0.000000, MPI_Gather
State, rank7, STATE, 15.023286, 18.434747, 3.411461, 0.000000, MPI_Finalize
State, rank69, STATE, 0.005197, 0.005198, 0.000001, 0.000000, MPI_Comm_size
State, rank69, STATE, 0.005198, 0.005198, 0.000000, 0.000000, MPI_Comm_rank
State, rank69, STATE, 0.005203, 0.005747, 0.000543, 0.000000, MPI_Bcast
State, rank69, STATE, 0.005809, 6.768392, 6.762583, 0.000000, MPI_Scatter
State, rank69, STATE, 6.768394, 13.501371, 6.732977, 0.000000, MPI_Scatter
State, rank69, STATE, 14.284423, 18.341919, 4.057496, 0.000000, MPI_Gather
State, rank69, STATE, 18.341929, 18.435405, 0.093476, 0.000000, MPI_Finalize
State, rank68, STATE, 0.007101, 0.007102, 0.000001, 0.000000, MPI_Comm_size
State, rank68, STATE, 0.007102, 0.007103, 0.000000, 0.000000, MPI_Comm_rank
State, rank68, STATE, 0.007108, 0.007599, 0.000491, 0.000000, MPI_Bcast
State, rank68, STATE, 0.007648, 6.666456, 6.658808, 0.000000, MPI_Scatter
State, rank68, STATE, 6.666457, 13.400400, 6.733943, 0.000000, MPI_Scatter
State, rank68, STATE, 14.165478, 18.349149, 4.183671, 0.000000, MPI_Gather
State, rank68, STATE, 18.349159, 18.435419, 0.086259, 0.000000, MPI_Finalize
State, rank67, STATE, 0.001518, 0.001519, 0.000001, 0.000000, MPI_Comm_size
State, rank67, STATE, 0.001519, 0.001519, 0.000000, 0.000000, MPI_Comm_rank
State, rank67, STATE, 0.001523, 0.014115, 0.012592, 0.000000, MPI_Bcast
State, rank67, STATE, 0.014161, 6.564611, 6.550450, 0.000000, MPI_Scatter
State, rank67, STATE, 6.564611, 13.299276, 6.734664, 0.000000, MPI_Scatter
State, rank67, STATE, 14.027991, 18.295015, 4.267023, 0.000000, MPI_Gather
State, rank67, STATE, 18.295024, 18.435484, 0.140460, 0.000000, MPI_Finalize
State, rank66, STATE, 0.003021, 0.003022, 0.000001, 0.000000, MPI_Comm_size
State, rank66, STATE, 0.003023, 0.003023, 0.000000, 0.000000, MPI_Comm_rank
State, rank66, STATE, 0.003027, 0.015589, 0.012562, 0.000000, MPI_Bcast
State, rank66, STATE, 0.015625, 6.462720, 6.447095, 0.000000, MPI_Scatter
State, rank66, STATE, 6.462720, 13.198167, 6.735447, 0.000000, MPI_Scatter
State, rank66, STATE, 13.907128, 18.265345, 4.358217, 0.000000, MPI_Gather
State, rank66, STATE, 18.265361, 18.435495, 0.170134, 0.000000, MPI_Finalize
State, rank65, STATE, 0.000967, 0.000968, 0.000001, 0.000000, MPI_Comm_size
State, rank65, STATE, 0.000968, 0.000968, 0.000000, 0.000000, MPI_Comm_rank
State, rank65, STATE, 0.000972, 0.013594, 0.012622, 0.000000, MPI_Bcast
State, rank65, STATE, 0.013632, 6.360857, 6.347225, 0.000000, MPI_Scatter
State, rank65, STATE, 6.360858, 13.096915, 6.736056, 0.000000, MPI_Scatter
State, rank65, STATE, 13.827834, 18.104813, 4.276979, 0.000000, MPI_Gather
State, rank65, STATE, 18.104822, 18.435438, 0.330616, 0.000000, MPI_Finalize
State, rank64, STATE, 0.002579, 0.002580, 0.000001, 0.000000, MPI_Comm_size
State, rank64, STATE, 0.002580, 0.002580, 0.000000, 0.000000, MPI_Comm_rank
State, rank64, STATE, 0.002584, 0.015208, 0.012625, 0.000000, MPI_Bcast
State, rank64, STATE, 0.015244, 6.259017, 6.243772, 0.000000, MPI_Scatter
State, rank64, STATE, 6.259017, 12.995915, 6.736898, 0.000000, MPI_Scatter
State, rank64, STATE, 13.738999, 17.484943, 3.745944, 0.000000, MPI_Gather
State, rank64, STATE, 17.484960, 18.435410, 0.950450, 0.000000, MPI_Finalize
State, rank63, STATE, 0.002242, 0.002243, 0.000001, 0.000000, MPI_Comm_size
State, rank63, STATE, 0.002243, 0.002243, 0.000000, 0.000000, MPI_Comm_rank
State, rank63, STATE, 0.002246, 0.014220, 0.011973, 0.000000, MPI_Bcast
State, rank63, STATE, 0.014254, 6.157751, 6.143497, 0.000000, MPI_Scatter
State, rank63, STATE, 6.157751, 12.894686, 6.736934, 0.000000, MPI_Scatter
State, rank63, STATE, 13.654783, 18.087427, 4.432645, 0.000000, MPI_Gather
State, rank63, STATE, 18.087442, 18.435719, 0.348277, 0.000000, MPI_Finalize
